" - Edit"," - Edit"
"",""
"Action","Action"
"Add Event","Add Event"
"Add Party order item","Add Party order item"
"Add Party_participate","Add Party_participate"
"Add Party_success_promotion","Add Party_success_promotion"
"Address","Address"
"An error occurred while updating the events.","An error occurred while updating the events."
"An error occurred while updating the party order items.","An error occurred while updating the party order items."
"An error occurred while updating the party_participates.","An error occurred while updating the party_participates."
"An error occurred while updating the party_success_promotion.","An error occurred while updating the party_success_promotion."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Event","Change Event"
"Change status","Change status"
"City","City"
"Could not find event to delete.","Could not find event to delete."
"Could not find party order item to delete.","Could not find party order item to delete."
"Could not find party_participate to delete.","Could not find party_participate to delete."
"Could not find party_success_promotion to delete.","Could not find party_success_promotion to delete."
"Country","Country"
"Created at","Created at"
"Delete Event","Delete Event"
"Delete Party order item","Delete Party order item"
"Delete Party_participate","Delete Party_participate"
"Delete Party_success_promotion","Delete Party_success_promotion"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Event '%s'","Edit Event '%s'"
"Edit Party order item '%s'","Edit Party order item '%s'"
"Edit Party_participate '%s'","Edit Party_participate '%s'"
"Edit Party_success_promotion '%s'","Edit Party_success_promotion '%s'"
"Edit","Edit"
"Enabled","Enabled"
"End time","End time"
"Error saving event","Error saving event"
"Error saving party order item","Error saving party order item"
"Error saving party_participate","Error saving party_participate"
"Error saving party_success_promotion","Error saving party_success_promotion"
"Event was saved","Event was saved"
"Event was successfully deleted.","Event was successfully deleted."
"Event was successfully saved","Event was successfully saved"
"Event","Event"
"Events","Events"
"Excel","Excel"
"Guest","Guest"
"Home","Home"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"No","No"
"None","None"
"Party order item was saved","Party order item was saved"
"Party order item was successfully deleted.","Party order item was successfully deleted."
"Party order item was successfully saved","Party order item was successfully saved"
"Party order item","Party order item"
"Party order items","Party order items"
"Party_participate was saved","Party_participate was saved"
"Party_participate was successfully deleted.","Party_participate was successfully deleted."
"Party_participate was successfully saved","Party_participate was successfully saved"
"Party_participate","Party_participate"
"Party_participates","Party_participates"
"Party_success_promotion was saved","Party_success_promotion was saved"
"Party_success_promotion was successfully deleted.","Party_success_promotion was successfully deleted."
"Party_success_promotion was successfully saved","Party_success_promotion was successfully saved"
"Party_success_promotion","Party_success_promotion"
"Please select events to delete.","Please select events to delete."
"Please select events.","Please select events."
"Please select party order items to delete.","Please select party order items to delete."
"Please select party order items.","Please select party order items."
"Please select party_participates to delete.","Please select party_participates to delete."
"Please select party_participates.","Please select party_participates."
"Please select party_success_promotion to delete.","Please select party_success_promotion to delete."
"Please select party_success_promotion.","Please select party_success_promotion."
"Position","Position"
"Qty","Qty"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Event","Save Event"
"Save Party order item","Save Party order item"
"Save Party_participate","Save Party_participate"
"Save Party_success_promotion","Save Party_success_promotion"
"Start time","Start time"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The events has been deleted.","The events has been deleted."
"The party order items has been deleted.","The party order items has been deleted."
"The party_participates has been deleted.","The party_participates has been deleted."
"The party_success_promotion has been deleted.","The party_success_promotion has been deleted."
"There was a problem saving the event.","There was a problem saving the event."
"There was a problem saving the party order item.","There was a problem saving the party order item."
"There was a problem saving the party_participate.","There was a problem saving the party_participate."
"There was a problem saving the party_success_promotion.","There was a problem saving the party_success_promotion."
"There was an error deleting event.","There was an error deleting event."
"There was an error deleting events.","There was an error deleting events."
"There was an error deleting party order item.","There was an error deleting party order item."
"There was an error deleting party order items.","There was an error deleting party order items."
"There was an error deleting party_participate.","There was an error deleting party_participate."
"There was an error deleting party_participates.","There was an error deleting party_participates."
"There was an error deleting party_success_promotion.","There was an error deleting party_success_promotion."
"There was an error updating events.","There was an error updating events."
"There was an error updating party order items.","There was an error updating party order items."
"There was an error updating party_participates.","There was an error updating party_participates."
"There was an error updating party_success_promotion.","There was an error updating party_success_promotion."
"This event no longer exists.","This event no longer exists."
"This party order item no longer exists.","This party order item no longer exists."
"This party_participate no longer exists.","This party_participate no longer exists."
"This party_success_promotion no longer exists.","This party_success_promotion no longer exists."
"Title","Title"
"Total of %d events were successfully deleted.","Total of %d events were successfully deleted."
"Total of %d events were successfully updated.","Total of %d events were successfully updated."
"Total of %d party order items were successfully deleted.","Total of %d party order items were successfully deleted."
"Total of %d party order items were successfully updated.","Total of %d party order items were successfully updated."
"Total of %d party_participates were successfully deleted.","Total of %d party_participates were successfully deleted."
"Total of %d party_participates were successfully updated.","Total of %d party_participates were successfully updated."
"Total of %d party_success_promotion were successfully deleted.","Total of %d party_success_promotion were successfully deleted."
"Total of %d party_success_promotion were successfully updated.","Total of %d party_success_promotion were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find event to save.","Unable to find event to save."
"Unable to find party order item to save.","Unable to find party order item to save."
"Unable to find party_participate to save.","Unable to find party_participate to save."
"Unable to find party_success_promotion to save.","Unable to find party_success_promotion to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"Zip","Zip"
"promo code","promo code"